,Author,Date,body
460,lada flac,2016-07-28,i changed password on web  now i cannot log on to mobile   can t pass the security check  constantly switching between i am not a robot page and blank page  i will try again after reinstallation  i lost the whole hour because of this   update reinstall didn t solve the problem  i cannot log in on mobile  maybe interferes with google smart lock   update2 login problem seems to be resolved with today s upgrade  graded 35 because home page updates cannot be ordered chronologically 
461,matheos mastrappa,2016-07-28,too many issue after latest update  freeze and the worst affect my signal strength  problem solve after uninstalled 
462,koppula sai charan,2016-07-28,there be many bug like profile pic be not uploading and it s close itself
463,tejaswi k t,2016-07-28,awesome
464,alaa al kiswani,2016-07-28,the new update be verrrrry slow
465,piyush sarkar,2016-07-28,be used the from last 5 year
466,shubham bhome,2016-07-28,nice!
467,ghettoboy mofix,2016-07-28,its a good for internet or social medium user
468,stuart taylor,2016-07-28,since update today you cannot login  keep go through security check and then take you to a blank screen  version 4 0 55 update uninstal the and reinstal it now work ok 
469,kasie hartzell,2016-07-28,great opportunity
470,parth pithadia,2016-07-28,take time to send message  click on send button don t respond 
471,eamos fennell,2016-07-28,first off too many permissions   second too many stupid notification that can t be turn off  third everytime i connect with somebody it read all my other account and try to get me to connect with them also everytime after say no all the time   first time i ve ever delete an for be too pushy  
472,william thapedi,2016-07-28,hey guy i like this
473,kieran shirey,2016-07-28,why would it return to the top of the page when you go back from look at a post? buzz killer 
474,dream walker,2016-07-28,i think so
475,mike darlington,2016-07-28,it s cool though
476,jairo juan monari muffolini,2016-07-28,get in touch with everyone 
477,carmela abate,2016-07-28,connect on a professional level
478,naomi udom,2016-07-28,hmm
479,littlebit litlebit,2016-07-28,great
480,samuel ong,2016-07-28,after the ssecurity check i go back to sign in screen
481,manoj kumar thavamani,2016-07-28,do not work good even though when i have change my login credential i m unable to sign in to
482,marti tracy,2016-07-28,win t let me add anyone have error and win t let me post  what good be an that doesn t even work right!
483,ellis james ranada,2016-07-28,cant log in
484,bankim purohit,2016-07-28,good
485,abiola ameen,2016-07-28,nice
486,verlyn vandyck,2016-07-28,its amazing
487,koorosh torabi,2016-07-28,this be one of the best 
488,ruth mthombene,2016-07-28,ms mthombene
489,rishabh aggarwal,2016-07-28,must have
490,kumar rohit,2016-07-28,nice
491,staci,2016-07-27,stop be like the us government stop rob us of privacy and our liberty therein! get some decency  do you really want to listen watch then promote to post about then read about each crap each person takes???
492,jo kupa,2016-07-27,this be useless to me  yet person keep try to get me to join the docker cult
493,parveen sahore,2016-07-27,simply superb  help to get connect with right person
494,jd,2016-07-27,i put in restaurant manager and i get job alert for construction house cleaning etc  just like every other job board out there  it s super annoying 
495,nimesh prajapati,2016-07-27,poor performance
496,surya kiran,2016-07-27,you re be very good and i just want to report a bug that i have face while used your in edit volunteer experience fragment or activity when you click on the cause drop down it will show some option to select when i select a particular option example science and technology but on profile it be show social cause which mean it be show below option social cause rather than what i selected science and technology on the profile 
497,a google user,2016-07-27,support latest android ver  n optimize to look and feel great on smaller and larger android device display androidwear smartwatch tablet android tv android auto
498,muthu raman,2016-07-27,very best
499,prakash jz rawal,2016-07-27,            
500,prasanth b,2016-07-27,v good
501,th  y   oan h   nh tr   n,2016-07-27,from this we can find other oppotunity
502,hisham imad,2016-07-27,the be very useful for job search and career but it s unstable and crash hang a lot  this be as per my experience with android 
503,amarjit boruah,2016-07-27,good
504,fluffy audacious rainbow,2016-07-27,it would be greatly reciat if i can be a beta tester 
505,ogbonna kelechi,2016-07-27,be on for a couple of year till date  u can find useful info and meet real person that have make great achievement which be usually share and this can spur u to aim high 
506,bereni adoki,2016-07-27,great lication thumb s up
507,humoud han,2016-07-27,i love lonkedin
508,bandar jumah,2016-07-27,again i can t login from the  
509,jaga jivan ram shrestha,2016-07-27,rastriya nanijya bank ltd regional pffice pokhara
510,abdul rahmat,2016-07-27,manufactur two pice can indonesia 5 year  u0026amp  saudi 3 year
511,christina greenwood,2016-07-27,i like to articulate with those perpetuate in deep energy emerge from matriculation
512,paul allais,2016-07-27,can t log in the anymore  since google smart lock kick in i be loop on captcha tick and click on pictures 
513,kevin bray,2016-07-27,nice
514,aman roy,2016-07-27,no importance of captcha and unable to fulfill the captcha 
515,kartar phull,2016-07-27,cant log in since i be try to verify myself try 6 time i give up
516,mansour salah,2016-07-27,thank
517,sachin giri,2016-07-27,i love it
518,aditya arief yuniawan,2016-07-27,good social medium
519,patri murthy,2016-07-27,good  quick
520,sd shakeel,2016-07-27,it s too easy to get
521,kinyua francis,2016-07-27,estate  development
522,kenneth walters,2016-07-27,walter tax service
523,faye anderson,2016-07-27,counsele
524,michael mcnabb,2016-07-27,just to bothersome  like facebook twitter and some the others  who want to read everybody s else s problem s and complaints  email be far more personal and can be direct to just one person and not share by all there friends  good bye
525,edna mendez,2016-07-27,adp service
526,anubhuti gupta,2016-07-27,message be not visible neither new nor older messages  this have be hen for the last two weeks  please fix this issue
527,sean tesch,2016-07-27,when look at contact friend it will go white so i can see anything to add people 
528,atyam venkateswara rao,2016-07-27,very useful and informative web  atyam venkateswararao
529,horace donnell,2016-07-27,this be a great it s a great way to meet person who be look for way to improve their income or to help you improve your business thanks 
530,jean venter,2016-07-27,great  
531,deidra lowery,2016-07-27,when i enter my login credential i receive the same error message for months  i m try from my update android galaxy amp my pc used chrome 51 and my ipad  same results! sucks!
532,jitendra patil,2016-07-27,superb
533,shayan nag,2016-07-27,love it
534,rajat bajaj,2016-07-27,excellent
535,odeyemi oluwaseun,2016-07-27,i hope it would give me what i want
536,lalit mohan singh mahara,2016-07-27,nice
537,mohamed yusuf,2016-07-27,nice
538,rizvi marzook,2016-07-27,easy to access our detail and find a job and more
539,karthikeyan ramachandran,2016-07-27,good i love it
540,saurabh ghosh,2016-07-27,at u r the most pathetic social network i have ever seen  for a so call professional network you just have ridiculous mobile and mobile site functionality and i m convince that your computer site win t be much different  hence sayonara
541,alex gonzalez,2016-07-27,suck
542,kunal pancholi,2016-07-27,why can t i see messages  be it not important
543,camaro 2ss77,2016-07-27,want let me log in from mobile device but can on laptop
544,prantik sarkar,2016-07-27,stay connect corporate  thank you
545,subas murmu,2016-07-27,need small apk size
546,praveen kumar,2016-07-27,good
547,feras al khatib,2016-07-27,i try several time to sign in but always failed ? it always ask me for security check?
548,balaji ramani,2016-07-27,doesn t allow recommendation from the   have to go to the actual site for that?!!!
549,ivanaxis faous,2016-07-27,usefully
550,stuart taylor,2016-07-27,since update today you cannot login  keep go through security check and then take you to a blank screen  version 4 0 55
551,zulkifli82 zull,2016-07-27,sofor the winare
552,john schwobe,2016-07-27,no i would not recommend it  i don t like the idea that someone else be invite person to join me  for this reason i don t use this program and never will 
553,deon belle,2016-07-27,good
554,victoria isabell,2016-07-27,trash better off used indeed 
555,evans mwakera,2016-07-27,god bless the team  god bless all the professional on this platform!
556,tariq mohammed,2016-07-27,the best
557,dashing mahar,2016-07-27,very awesome lication for android
558,priscilla akkerman,2016-07-27,fine
559,timi odubanjo,2016-07-26,great
560,deena devore,2016-07-26,be great for professional contact
561,kumar shivam,2016-07-26,good for connectivity 
562,utpal priyadarshi,2016-07-26,like it
563,anil upadhyay,2016-07-26,very useful in spread business  
564,radha milan shah,2016-07-26,very nice
565,opeyemi careem,2016-07-26,not bad  many thank for this
566,rhosechii lubaton,2016-07-26,verry good im so excited
567,gernelyn tandugon,2016-07-26,love it
568,subhajit chakraborty,2016-07-26,u guy need to seriously redefine job search area because the job that i get through notification be extremely odd or no chance for me  also constantly give notification for add contact update profile etc be also annoying  we will do that whenever possible no need to always ping for that  otherwise this two it s ok 
569,louise lee,2016-07-26,great   been with linked in a long time!x    
570,rudish k s,2016-07-26,it doesn t work with lower end network connection please fix it to work and also it doesn t feel user friendly please follow user advise and fix it
571,aasavari sant,2016-07-26,they charge you for free trail and when you say you want refund they deactivate the service and say they can not initiate refund 
572,chommy promise,2016-07-26,good
573,sajan nair,2016-07-26,love it
574,basavaraj m,2016-07-26,good article
575,saiful islam,2016-07-26,good
576,alex adelakun,2016-07-26,great
577,thaya vathi,2016-07-26,super help a lot
578,bharath h b,2016-07-26,g8
579,anaz asha,2016-07-26,super
580,naima zannat,2016-07-26,thank for make it free
581,benjamin motau,2016-07-26,best way to keep with like mind professional
582,tommy harrison,2016-07-26,this be probably the most prolific site i ve have the privilege of using 
583,marlyn bamuya,2016-07-26,verry nice
584,sai raghava,2016-07-26,after the update the message don t show up
