,Author,Date,body,Class
398,ginger hefner,2016-07-30,love drop box  but i need more space guy,
399,elizabeth fuller,2016-07-30,hey dev the what s new section in play store be for tell us what s new not just say that you make change regularly and we ll find out what they be when we install  responsible devs post actual changelogs  a one person outfit might get a pass on this but you re a big grownup company and have no excuse for not tell customer what you re give them ,
400,d ki,2016-07-30,bring back shorten sharing link much less hassle than typing the stupidly long share link provide by the now  please multiple accounts!,2.0
401,mahak mohamadi,2016-07-30,mat,
402,afaf suhail,2016-07-30,thank for this great,
403,kevin walsh,2016-07-30,great,
404,danielle smead,2016-07-30,i use it for everything work and personal  i have it on all my device and can access anything anywhere!,
405,olushesan odejobi,2016-07-30,good,
406,maria  titi santiago,2016-07-30,titi nena,
407,jim stewart,2016-07-30,very good for sharing files ,
408,bill richards,2016-07-30,easy to use and easy to share from  glad i find  ,
409,chloe gregory,2016-07-30,      ,
410,albert lewis,2016-07-30,love it,
411,vishal basir,2016-07-30,excelent way to store file and access them from all user device,
412,warz wallabie,2016-07-30,    ,
413,rusty jake,2016-07-30,yup,
414,a google user,2016-07-30,and now my be full? why do you advertise 50g free for my s4 then take it back bc new phone? no notice of expiry just that suddenly you re out of space? why should an supposedly for putt file in the cloud take up  u0026amp gt 5mb? i haven t even used 50g yet wo warn you remove gs along w important files? i used to love   fortunately i have more than one cloud backup  i know i m talk to a brick wall here  galaxy s7 m,
415,best of rock 60s 70s 80s 90s  u0026amp  2000s jimmy,2016-07-30,nice if i get it work,
416,a google user,2016-07-30,syncing photo in duplicate,1.0
417,squrel simpson,2016-07-30,great,
418,joesue perez,2016-07-30,wow this be impressive i can t believe because be a company lmao because you bitch get slayed wow i genius because i m a prankster gangster lalalalalalalalala aha hahaha i haven t even know you guy be fool i don t like,1.0
419,kathleen heffron,2016-07-30,do great with video,
420,bhushan patil,2016-07-30,hi,
421,ramy shaheen,2016-07-30,,
422,aysha fakier,2016-07-30,a fakier,
423,zafar habib,2016-07-30,i love this it s very nice and easy to use  i use this to save my family photo  ,
424,bharat vaniya,2016-07-30,bharat,
425,amy wilson,2016-07-30,i have ton of storage on but now no longer will be used this or recommend this as a backup! i don t want to set this up on my pc to keep used the upload option! if i want to use my pc i would! i m definitely not go to purchase something when you have a promo go on and i get 1 tb! you should give ppl the choice to still use without have the 2 option you give us! i ve always also used google photo so i will continue to use them n bye bye !,2.0
426,nicholas danielson,2016-07-30,loose again,
427,david rabinowitz,2016-07-30,indispensable,
428,stephen giles,2016-07-30,what have you done  it work flawlessly until the most recent update now i can t access anything  u0026amp  it force crash,1.0
429,shubh krishna singh,2016-07-30,we all can do new thing with this like sharing file and many more!! i have a nice experience with it!!!! but only one problem that on the iphone version need some improvement because we cannot see album easily !!,
430,michael kunyima,2016-07-30,mr,
431,                            ,2016-07-30,,
432,malim dan,2016-07-30,i like the very much,
433,                                  ,2016-07-30,engineer,
434,rishab pathak,2016-07-30,loveit,
435,will higginson,2016-07-30,kristen the best,
436,julius vasquez,2016-07-30,nice,
437,vasant vadar,2016-07-30,i like it,
438,no thinks,2016-07-30,trash 2gb be nothing ,
439,antonios kovachev,2016-07-30,too many attempt please try later why ? it s impossible to log in ,1.0
440,white hourse,2016-07-30,very good            ,
441,siraj moazzam,2016-07-30,lowest storage,
442,barot mukesh,2016-07-30,thank,
443,oren keller,2016-07-30,,
444,khamis,2016-07-30,cool,
445,william lloyd,2016-07-30,save my storage space on smartphone ,
446,neetu sakray,2016-07-30,this be the best i want save any file or pic it can easily save security also nic,
447,yashwin kumar,2016-07-30,hatee,
448,ashok thawani,2016-07-30,easy recovery of photo document,
449,lars mikkelsen,2016-07-30,without camera upload this thing have no use anymore  might be savage to one star an that have work for me for year but that s competition for ya  other still provide that same service for free ,
450,bavi baskaran,2016-07-30,new updare have enormous bugs  don t install it  please  get constantly stick on the s5,1.0
451,sanjay phanse,2016-07-30,good one,
452,ss ss,2016-07-30,good,
453,hamatryi ali,2016-07-30,it work very good,
454,sanjivani kulkarni,2016-07-30,fantastic,
455,zack chambers,2016-07-30,awesome     ,
456,janice henderson,2016-07-30,hy hy,
457,mike mells,2016-07-30,great cloud for access file anywhere,
458,amin kalantar,2016-07-30,good,
459,mihir joshi,2016-07-30,nice,
460,koko alak,2016-07-30,nice easly use,
461,javier marrufo,2016-07-30,this is one of three clouds i use  it s not like the others but still functional and my go to that i have on my laptop note 4 and tabpro 12 2        ,1.0
462,david chaviano,2016-07-30,never a problem  always convenient ,
463,  var gu  mundsson,2016-07-30,work as intend,
464,abdul sattar kakozai achanakzai,2016-07-30,aameen,
465,prince kumar kumar,2016-07-30,this be the best numerical pdf of physics,
466,george bucek,2016-07-30,can t uninstall this pos  reinstal itself after i delete it  wasting my device storage space  garbage i never use ,1.0
467,benedna coetzer,2016-07-30,download it now   will let u know,
468,kevin merrill,2016-07-30,excellent,
469,madeline clark,2016-07-30,love it,
470,chuck greenawalt,2016-07-30,can share file of datum or photo without send multiple files  send a link to many friend and share the data ,
471,lawal yusuf,2016-07-30,nice   best for office use  in fact i call it my mobile office brief case ,
472,pramod vishwakarma,2016-07-30,i be used few day ago it s very useful for me and it be also useful for those who work on the website and any other organisation,
473,chuck de luca,2016-07-30,all feature,
474,qamar nazar,2016-07-30,i like it,
475,noel fruitman,2016-07-30,do what it say it does  and it s easy to use ,
476,priscilla edison,2016-07-30,i love be able to view my file everywhere i go ,
477,taiwo hassan bakare,2016-07-30,luv it,
478,steven mans,2016-07-30,like it,
479,carla gaus,2016-07-30,it wil keep everything here,
480,nikunj pathak,2016-07-30,so convenient,
481,robert stewart,2016-07-30,work perfectly,
482,valentine paschal,2016-07-30,good,
483,deoki nandan tripathi,2016-07-30,very good,
484,the black mamba,2016-07-30,i have to restart my phone and i send everything to,1.0
485,rusdi harun,2016-07-30,like,
486,rajendar darji,2016-07-30,ok,
487,mini singh,2016-07-30,it s amazing love it,
488,andy mear,2016-07-30,  love it,
489,anand r,2016-07-30,good         ,
490,rahul shaw,2016-07-30,its really a good aap,
491,youssef991 the master of gold and emerald,2016-07-30,i have it,
492,stephen giles,2016-07-30,what have you done  it work flawlessly until the most recent update now i can t access anything  u0026amp  it force crash,1.0
493,a google user,2016-07-30,awesome,
494,tom tisdale,2016-07-30,be used for a long time and it be work great for me!,
495,farid nader,2016-07-30,the title say it all,
496,seth r kallick,2016-07-30,drop box,
497,jim neish,2016-07-30,very handy work well so far!,
498,jacob kolander,2016-07-30,shouldn t be force to download the to view some pictures ,1.0
499,    q         z,2016-07-30,lovely,
500,jules libor,2016-07-29,work as expect on two version of android and two version of window,1.0
501,reham kenany,2016-07-29,it s an amazing,
502,youseph shiri,2016-07-29,i love,
503,                      ,2016-07-29,,
504,tamara murphy,2016-07-29,love love love this!!!,
505,dmewantha chandinath,2016-07-29,nice,
506,ali bayazi,2016-07-29,good,
507,cynthia guerrero,2016-07-29,everything,
508,jum jam,2016-07-29,good,
509,saad syamlan,2016-07-29,good,
510,babu kherani,2016-07-29,good,
511,didi suprijatno,2016-07-29,easy to used,
512,hitesh rawal,2016-07-29,easy to u used thiz,
513,neeraj soni,2016-07-29,good,
514,princess dharu,2016-07-29,a very useful  ,
515,badrul haque,2016-07-29,realy absuletly gorgeus  but need more improvement ,
516,tarun roy,2016-07-29,this be good to store all your image and other important item,2.0
517,senthil azhagu,2016-07-29,meny more space,
518,daniel lugo,2016-07-29,it s not let me log in???,1.0
519,fari andreamsyah,2016-07-29,lumayan buat flashdisk berjalan  gak perlu khawatir lupa data    kalo bisa jatah free nya di naikin   heeheheh,
520,alex ciobaneasca,2016-07-29,add more free space 2 5 gb free? laugh out loud,
521,gajendra reddy,2016-07-29,good one to store pic video and more  thank you,
522,bittu shaw,2016-07-29,boooooo,
523,tiberiu nicolae,2016-07-29,work great,
524,timothy gan,2016-07-29,i have a mac and an android phone  help transfer file without the fuss of mac compatibility with android  stupid mac!!!,1.0
525,abhishek bh,2016-07-29,nandu,
526,amin'r poriya,2016-07-29,ok                    very very good   very very tank s             ,
527,alfredo calinisan,2016-07-29,inc ,
528,john evans,2016-07-29,very handy able transfer from to computer and share file,
529,louisa gamez,2016-07-29,louisa woodward,
530,pete dance,2016-07-29,download to my pc but it doesn t show i have do it on the site hence no free extra space,
531,vijay prabhu alvenkar,2016-07-29,most reliable,
532,ghulam sarwar,2016-07-29,i give 5 star because it be very helpful for low rom mobile users ,
533,sanjay gupta,2016-07-29,good,
534,ahmed farouk,2016-07-29,very effective sofor the winare  i have the premium services  it work perfectly  highly recommend for personal and business use ,
535,amrit rintu,2016-07-29,very useful in my life journey,
536,irfan zafar,2016-07-29,love,
537,haz fiz,2016-07-29,remove from my phone!!!!!!!!,1.0
538,jhinuk parmar,2016-07-29,haful this every day,
539,fasil mehmood,2016-07-29,life,
540,umar hassan,2016-07-29,i be something which i really want,
541,angel delgado,2016-07-29,al 100,
542,ashrin najam,2016-07-29,be the best among the best    ,
543,                           ,2016-07-29,yes,
544,will grueshow,2016-07-29,excellent,
545,mesbah mohamed,2016-07-29,excellent,
546,pcwiz smith,2016-07-29,can t live without it!!!                         ,
547,kisame hoshigaki,2016-07-29,thank guy i just adore ur   it make life so much easier ,
548,desmond van zyl,2016-07-29,ok,
549,a google user,2016-07-29,can t fault it awesome,
550,mark clarke,2016-07-29,be a great i love it,
551,bernard koduah,2016-07-29,fantastic vault,
552,amit chaudhary,2016-07-29,only 2gb space it s of no use ,
553,abhijit lath,2016-07-29,         !     ,
554,shea butler,2016-07-29,mrs  butler,
555,brijesh gwala,2016-07-29,i have no worry regard my photo doc files  even when i forget my phone at home during outdoor,1.0
556,geremu bekele gb,2016-07-29,not bad,
557,g angel gea,2016-07-29,i lose all my picture and video suddenly ??? why ???please help me i want my picture and my video come back,1.0
